pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-04,93,1.71,5.75,"Bubic, Kris",606466,663460,,ball,,,,,7,Ball,R,R,L,AZ,KC,B,,,2,1,2025,0.38,1.57,-0.78,2.19,,,,1,5,Bot,,,,,,,-7.26862819,-135.1175582,-6.826547217,6.332351545661381,30.256204547761214,-11.59134188,3.61,1.68,,,,93.5,2478,6.7,777248,666023,686469,663697,672580,677951,592192,670231,695506,53.77,,,,,,,,48,4,4-Seam Fastball,2,9,2,9,9,2,2,9,Standard,Standard,154,-0.003,0.121,,,,-0.121,,-7,-7,0.020200342970752006,0.020200342970752006,27,31,28,32,3,2,5,1,5,2,1.08,0.38,-0.38,41.8,,,,,
CH,2025-07-04,88.6,-3,5.83,"Olson, Reese",666134,681857,strikeout,swinging_strike_blocked,,,,,13,Nolan Jones strikes out swinging.,R,L,R,CLE,DET,S,2,,2,2,2025,-1.26,-0.2,-0.65,0.52,,,467793,2,3,Bot,,,,,,,8.358795831908056,-128.7071478,-6.512716394,-15.6992695,26.16158049122679,-33.17562077,3.73,1.74,,,,88.6,1859,6.3,777249,693307,679529,650402,690993,656716,663837,678009,672761,54.18,,0,0,1,0,0,,28,5,Changeup,1,1,1,1,1,1,1,1,Infield shade,Strategic,242,-0.026,-0.216,75.8,7.9,,0.216,,0,0,0.5255522113559525,0.5255522113559525,25,27,26,27,2,1,48,1,5,1,3.1,1.26,-1.26,34.8,19.69978148330438,-11.91578154,43.87985037397941,41.40582381259323,43.67405706
FF,2025-07-04,91.5,1.11,4.97,"Sears, JP",666149,676664,,ball,,,,,12,Ball,R,R,L,ATH,SF,B,,,0,2,2025,1.04,1.2,1.13,4.39,,682641,,0,5,Top,,,,,,,-2.175758983,-133.2263488,1.8096757054075345,12.786029670090777,29.995486859883574,-18.51160314,3.42,1.66,,,,91.3,2013,6.3,777244,669127,701762,680869,691777,805779,691016,672016,671732,54.25,,,,,,,,38,3,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,133,0.008,0.017,,,,-0.017,,6,-6,0.941487101,0.058512899,29,27,29,28,2,1,6,1,6,2,1.53,1.04,-1.04,28.9,,,,,
CU,2025-07-04,78.7,-1.44,6.5,"Giolito, Lucas",660688,608337,,foul,,,,,14,Foul,R,L,R,WSH,BOS,S,,,1,2,2025,0.71,-1.38,1.07,2.33,,,,1,5,Bot,,,,,,,4.161389909045589,-114.4820736,0.38608962697850835,5.385336815782036,22.262516872843246,-44.55760548,3.44,1.57,21,85.2,-6,78.7,2495,6.4,777245,665966,647351,666152,691785,596115,680776,678882,677800,54.05,,,,,,,,48,5,Curveball,0,9,0,9,9,0,0,9,Infield shade,Standard,24,-0.001,0,54.6,7.4,,0,88,-9,-9,0.006098426,0.006098426,30,26,31,27,2,1,6,11,5,1,5.08,-0.71,0.71,55.1,21.19061557912808,-44.96328622,30.650500194312084,19.04762435983826,57.58104606470759
FC,2025-07-04,88.6,-0.91,5.15,"Stroman, Marcus",621438,573186,walk,blocked_ball,,,,,14,Tyrone Taylor walks.,R,R,R,NYM,NYY,B,,,3,1,2025,-0.17,0.28,0.01,0.74,,,,2,4,Bot,,,,,,,2.575098520799192,-128.9713316,-5.21121886,-2.412752133,28.48819985142292,-28.18860982,3.7,1.77,,,,87.7,2238,5.8,777250,641555,502671,518934,665862,683011,691176,641355,592450,54.68,,0.691497,0.7,1,0,0,,34,5,Cutter,3,3,3,3,3,3,3,3,Standard,Standard,207,0.015,0.173,,,,-0.173,,0,0,0.5132340248968239,0.5132340248968239,34,31,34,31,2,1,5,1,6,1,2.64,0.17,0.17,31.5,,,,,
FF,2025-07-04,93,-1.59,5.73,"Cecconi, Slade",663837,677944,,ball,,,,,3,Ball,R,R,R,CLE,DET,B,,,1,0,2025,-0.94,1.19,0.77,3.37,,,,0,4,Top,,,,,,,8.155326243916566,-135.2042617,-2.872690296,-13.32710848,29.400636803987435,-17.15204463,3.54,1.74,,,,93.3,2262,6.5,777249,666310,467793,682657,608070,682177,680757,657041,666134,53.97,,,,,,,,30,2,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,230,-0.006,0.077,,,,-0.077,,-1,1,0.3770254396297652,0.6229745603702348,26,28,26,29,2,1,6,2,5,1,1.45,0.94,0.94,38.6,,,,,
SL,2025-07-04,86.7,-0.62,6.19,"Littell, Zack",670242,641793,walk,ball,,,,,11,Matt Wallner walks.,R,L,R,MIN,TB,B,,,3,1,2025,0.32,0.51,-1.15,4.37,,,,2,4,Bot,,,,,,,-1.910786447,-126.4388837,0.7287459112609128,3.8119517118823913,23.46265696282244,-26.98960601,3.78,1.61,,,,86.8,2112,6.1,777247,643376,666018,664040,691406,673490,663968,802415,666139,54.44,,0.691497,0.7,1,0,0,,30,5,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,190,0.015,0.173,,,,-0.173,,0,0,0.5132340248968239,0.5132340248968239,29,27,30,28,2,1,6,1,5,1,2.49,-0.32,0.32,39.9,,,,,
FF,2025-07-04,92,-2.86,5.58,"Soroka, Michael",596115,647336,,called_strike,,,,,1,Called Strike,R,R,R,WSH,BOS,S,,,0,0,2025,-0.88,1.21,-0.48,3.14,,,,2,3,Top,,,,,,,7.928789342,-133.8221788,-3.002588146,-12.18840663,27.431495907632208,-17.09455655,3.66,1.65,,,,92.1,2491,6.3,777245,660688,663993,671277,691781,682928,695578,696285,695734,54.24,,,,,,,,21,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,225,-0.01,-0.043,,,,0.043,,-2,2,0.3189463123060634,0.6810536876939366,27,32,28,33,2,1,6,2,6,1,1.47,0.88,0.88,38.4,,,,,
FF,2025-07-04,91.8,1.04,5.9,"Rodriguez, Eduardo",670231,593958,,foul,,,,,8,Foul,R,L,L,AZ,KC,S,,,2,1,2025,0.59,1.36,0.01,1.76,,,666023,1,3,Top,,,,,,,-3.887740535,-133.5176664,-7.573656955,7.911858710957211,28.55030242948749,-14.45680639,3.42,1.61,245,78.4,45,91.8,2402,6.3,777248,645444,647304,606466,677942,672695,666971,694374,545341,54.21,,,,,,,,28,4,4-Seam Fastball,2,6,6,2,6,2,6,2,Standard,Standard,151,-0.01,-0.075,73.6,6.9,,0.075,88,-4,4,0.14066154043985218,0.8593384595601479,32,27,32,28,2,1,5,1,6,2,1.34,0.59,0.59,39.3,-3.197705411,13.643326637043398,31.948453104248298,37.25646734413986,22.267787950462758
SL,2025-07-04,87.6,-1.68,5.93,"Alcantara, Sandy",686217,645261,,ball,,,,,11,Ball,R,L,R,MIA,MIL,B,,,1,0,2025,0.03,0.27,-1.28,2.56,,,687401,2,4,Top,,,,,,,0.8992445716460565,-127.6699846,-2.578209213,0.15159990290860786,25.59043775150088,-28.95007,3.18,1.48,,,,87.4,2274,6,777254,663743,676572,669364,681393,672640,669065,667472,660821,54.48,,,,,,,,33,2,Slider,2,5,5,2,5,2,5,2,Standard,Standard,187,-0.012,0.048,,,,-0.048,,-3,3,0.20203489666247146,0.7979651033375286,29,25,30,25,3,2,6,1,5,1,2.69,-0.03,0.03,30.9,,,,,
